iter	Logloss
0	0.6716206385
1	0.6541587302
2	0.635869343
3	0.6172326591
4	0.6016192115
5	0.5875837949
6	0.5737498212
7	0.5611598341
8	0.5495249839
9	0.5374840554
10	0.5280480257
11	0.518972437
12	0.5113001018
13	0.5047070026
14	0.4957285721
15	0.4895118898
16	0.4823266851
17	0.4757164142
18	0.4718095499
19	0.4656624707
20	0.4601125343
21	0.453990938
22	0.4489688732
23	0.4450670427
24	0.4406064707
25	0.435787892
26	0.4323724776
27	0.4286070631
28	0.4258820337
29	0.4229039663
30	0.4202096642
31	0.4172662098
32	0.4127733969
33	0.41049207
34	0.4080144312
35	0.4057025528
36	0.4030002979
37	0.3997343014
38	0.3973269325
39	0.3953569116
40	0.3935728859
41	0.3905079559
42	0.3883308896
43	0.3854972786
44	0.3831464393
45	0.3814526697
46	0.3789403955
47	0.3771915498
48	0.3754474805
49	0.3739197732
50	0.3724275606
51	0.3709995413
52	0.3691687946
53	0.3679335214
54	0.3662438873
55	0.3644526679
56	0.3631209392
57	0.3619065691
58	0.3596871689
59	0.3584835566
60	0.3570986266
61	0.3558164313
62	0.354953327
63	0.3534589402
64	0.3517047373
65	0.3508317181
66	0.3494751548
67	0.348674647
68	0.3475350931
69	0.3461034625
70	0.3454744582
71	0.3442846464
72	0.343270037
73	0.3426078512
74	0.3416143118
75	0.3407850091
76	0.3400361025
77	0.3394397289
78	0.3388577187
79	0.3384463433
80	0.3373800478
81	0.3367680003
82	0.3349273768
83	0.3335050037
84	0.3326708182
85	0.3321287186
86	0.3311064746
87	0.3304629773
88	0.330026695
89	0.3293735378
90	0.3287438921
91	0.3278409029
92	0.3272557891
93	0.3263700499
94	0.3258596374
95	0.3253483766
96	0.3247501711
97	0.3241246866
98	0.323740141
99	0.3234889659
100	0.3227638684
101	0.3219691677
102	0.3216465176
103	0.3208562597
104	0.3202773898
105	0.3194345509
106	0.3190930288
107	0.3184843996
108	0.3179502138
109	0.3172392814
110	0.3167500404
111	0.316242996
112	0.3154550261
113	0.3145130501
114	0.3140276664
115	0.3135711015
116	0.3130312045
117	0.3126188434
118	0.3121159714
119	0.3117166075
120	0.3113763703
121	0.3110537551
122	0.3103351782
123	0.3099672451
124	0.3095831112
125	0.3091669104
126	0.3088680929
127	0.3086267829
128	0.3078473735
129	0.3075252201
130	0.307022159
131	0.306547986
132	0.3055688431
133	0.3052606144
134	0.3049223744
135	0.3043462619
136	0.3038051575
137	0.3034038162
138	0.3027633033
139	0.3023133631
140	0.3015467964
141	0.301097226
142	0.30072777
143	0.3002943446
144	0.3000656955
145	0.2997761803
146	0.2995242898
147	0.2990326197
148	0.2986380114
149	0.298268742
150	0.2979575616
151	0.297728221
152	0.2974017464
153	0.2970745363
154	0.2967619417
155	0.2954460646
156	0.2951882757
157	0.2949345965
158	0.294770783
159	0.2943584687
160	0.2936949841
161	0.2933819893
162	0.2931249756
163	0.2928211462
164	0.2926283988
165	0.2920584513
166	0.291876307
167	0.2912873906
168	0.290586743
169	0.2893068055
170	0.2887638557
171	0.2885368112
172	0.2882860362
173	0.2881013138
174	0.287261403
175	0.2870108011
176	0.2868367347
177	0.2865425767
178	0.2863500564
179	0.2861139907
180	0.2858436519
181	0.2857320305
182	0.2851472872
183	0.2847598175
184	0.2845345389
