iter	Passed	Remaining
0	110	110538
1	118	59178
2	126	42174
3	134	33501
4	142	28371
5	151	25099
6	159	22695
7	167	20829
8	174	19268
9	182	18057
10	189	17066
11	197	16233
12	205	15573
13	212	14963
14	220	14472
15	227	13986
16	234	13568
17	241	13169
18	248	12810
19	255	12498
20	261	12189
21	268	11922
22	275	11708
23	283	11527
24	290	11321
25	297	11127
26	303	10953
27	310	10768
28	316	10599
29	324	10480
30	331	10365
31	339	10268
32	347	10183
33	354	10075
34	361	9972
35	369	9884
36	376	9799
37	384	9731
38	392	9662
39	401	9624
40	408	9563
41	416	9498
42	423	9434
43	431	9383
44	439	9328
45	446	9265
46	454	9215
47	462	9167
48	468	9102
49	476	9044
50	484	9008
51	491	8964
52	499	8931
53	507	8893
54	514	8843
55	521	8797
56	529	8755
57	536	8714
58	544	8681
59	551	8644
60	560	8625
61	567	8581
62	574	8545
63	581	8501
64	588	8469
65	596	8434
66	602	8394
67	610	8370
68	617	8335
69	625	8309
70	632	8280
71	639	8247
72	646	8213
73	653	8175
74	659	8137
75	666	8103
76	673	8075
77	681	8050
78	687	8017
79	694	7981
80	700	7947
81	707	7919
82	713	7887
83	721	7864
84	728	7840
85	735	7816
86	742	7792
87	748	7761
88	756	7743
89	762	7713
90	769	7690
91	776	7663
92	782	7636
93	789	7605
94	796	7583
95	802	7556
96	809	7532
97	815	7504
98	821	7478
99	827	7450
100	834	7431
101	841	7405
102	847	7381
103	855	7367
104	862	7350
105	869	7335
106	876	7315
107	883	7296
108	889	7272
109	896	7250
110	902	7226
111	909	7210
112	916	7195
113	924	7182
114	932	7175
115	940	7168
116	948	7157
117	956	7149
118	964	7138
119	972	7131
120	980	7121
121	988	7115
122	996	7103
123	1004	7095
124	1011	7082
125	1019	7071
126	1026	7055
127	1033	7042
128	1041	7030
129	1047	7013
130	1054	6997
131	1061	6983
132	1070	6977
133	1078	6970
134	1086	6962
135	1093	6949
136	1102	6942
137	1110	6938
138	1118	6928
139	1126	6917
140	1132	6902
141	1140	6889
142	1148	6882
143	1155	6865
144	1162	6856
145	1169	6841
146	1179	6841
147	1187	6834
148	1195	6826
149	1202	6814
150	1210	6804
151	1217	6794
152	1226	6790
153	1234	6779
154	1241	6770
155	1248	6756
156	1255	6743
157	1262	6728
158	1268	6710
159	1275	6695
160	1281	6680
161	1288	6664
162	1294	6646
163	1300	6629
164	1306	6612
165	1313	6598
166	1318	6577
167	1324	6561
168	1331	6545
169	1338	6534
170	1345	6522
171	1351	6504
172	1357	6489
173	1364	6477
174	1371	6467
175	1379	6458
176	1386	6448
177	1394	6437
178	1400	6424
179	1407	6412
180	1415	6403
181	1422	6394
182	1429	6381
183	1437	6374
184	1444	6364
185	1451	6354
186	1459	6345
187	1468	6342
188	1477	6338
189	1484	6328
190	1491	6319
191	1498	6305
192	1505	6293
193	1512	6282
194	1518	6268
195	1524	6255
196	1531	6242
197	1538	6230
198	1544	6217
199	1551	6205
200	1557	6192
201	1564	6180
202	1571	6168
203	1577	6156
204	1584	6143
205	1592	6136
206	1598	6125
207	1605	6112
208	1612	6101
209	1618	6088
210	1624	6075
211	1630	6061
212	1637	6048
213	1643	6037
214	1651	6028
215	1657	6016
216	1664	6006
217	1671	5997
218	1679	5987
219	1685	5975
220	1692	5965
221	1699	5956
222	1707	5948
223	1714	5938
224	1721	5930
225	1729	5921
226	1736	5912
227	1743	5902
228	1750	5894
229	1757	5883
230	1764	5872
231	1771	5863
232	1778	5853
233	1785	5845
234	1792	5835
235	1799	5826
236	1806	5815
237	1812	5804
238	1820	5796
239	1827	5787
240	1834	5777
241	1841	5768
242	1848	5758
243	1855	5747
244	1861	5737
245	1868	5728
246	1876	5722
247	1884	5713
248	1890	5702
249	1898	5694
250	1905	5686
251	1912	5677
252	1919	5668
253	1927	5659
254	1934	5650
255	1941	5642
256	1949	5634
257	1956	5625
258	1963	5618
259	1970	5608
260	1977	5599
261	1984	5590
262	1992	5582
263	1999	5573
264	2008	5569
265	2015	5562
266	2023	5555
267	2031	5547
268	2039	5541
269	2046	5533
270	2054	5525
271	2061	5516
272	2069	5510
273	2076	5503
274	2083	5493
275	2092	5488
276	2098	5478
277	2105	5467
278	2112	5458
279	2118	5447
280	2125	5439
281	2132	5429
282	2138	5418
283	2145	5408
284	2151	5398
285	2158	5388
286	2165	5378
287	2172	5369
288	2178	5360
289	2184	5349
290	2191	5339
291	2197	5328
292	2217	5349
293	2224	5340
294	2230	5329
295	2236	5318
296	2242	5307
297	2248	5297
298	2255	5287
299	2261	5276
300	2267	5266
301	2274	5257
302	2280	5246
303	2287	5236
304	2293	5226
305	2300	5216
306	2306	5205
307	2312	5195
308	2318	5185
309	2325	5175
310	2332	5166
311	2338	5157
312	2345	5147
313	2350	5135
314	2357	5127
315	2364	5117
316	2370	5107
317	2376	5097
318	2383	5087
319	2389	5078
320	2396	5069
321	2403	5060
322	2410	5051
323	2416	5042
324	2422	5031
325	2430	5024
326	2436	5013
327	2443	5005
328	2449	4995
329	2456	4986
330	2462	4977
331	2470	4970
332	2477	4961
333	2483	4951
334	2489	4941
335	2495	4932
336	2502	4922
337	2508	4913
338	2515	4904
339	2521	4895
340	2528	4886
341	2534	4876
342	2541	4867
343	2547	4858
344	2554	4848
345	2560	4839
346	2566	4829
347	2572	4819
348	2578	4810
349	2585	4801
350	2591	4791
351	2598	4782
352	2603	4772
353	2609	4762
354	2616	4753
355	2623	4745
356	2629	4736
357	2636	4727
358	2642	4718
359	2648	4708
360	2655	4700
361	2661	4691
362	2668	4682
363	2674	4673
364	2681	4664
365	2688	4656
366	2694	4647
367	2701	4638
368	2707	4630
369	2714	4621
370	2721	4613
371	2727	4605
372	2734	4596
373	2740	4587
374	2747	4578
375	2753	4570
376	2760	4561
377	2766	4553
378	2773	4543
379	2779	4534
380	2785	4525
381	2792	4516
382	2798	4508
383	2804	4498
384	2810	4489
385	2816	4480
386	2823	4471
387	2829	4463
388	2836	4454
389	2842	4446
390	2848	4437
391	2856	4430
392	2862	4421
393	2869	4413
394	2875	4404
395	2882	4397
396	2889	4388
397	2896	4380
398	2902	4372
399	2909	4363
400	2915	4354
401	2921	4345
402	2927	4337
403	2934	4329
404	2941	4320
405	2947	4312
406	2954	4304
407	2961	4296
408	2967	4288
409	2974	4280
410	2981	4272
411	2987	4263
412	2994	4255
413	3001	4247
414	3007	4239
415	3014	4231
416	3020	4223
417	3027	4214
418	3034	4207
419	3040	4198
420	3047	4191
421	3054	4183
422	3060	4175
423	3066	4166
424	3073	4158
425	3080	4150
426	3086	4142
427	3093	4134
428	3100	4126
429	3106	4117
430	3113	4110
431	3119	4101
432	3125	4092
433	3131	4084
434	3138	4076
435	3144	4067
436	3151	4059
437	3157	4051
438	3163	4042
439	3169	4034
440	3176	4026
441	3182	4018
442	3189	4009
443	3195	4001
444	3202	3993
445	3208	3985
446	3214	3977
447	3221	3969
448	3227	3960
449	3233	3952
450	3240	3945
451	3247	3937
452	3255	3930
453	3262	3923
454	3269	3915
455	3275	3907
456	3282	3900
457	3289	3893
458	3297	3887
459	3304	3879
460	3311	3872
461	3318	3864
462	3325	3857
463	3332	3849
464	3340	3843
465	3346	3835
466	3354	3828
467	3361	3821
468	3367	3812
469	3374	3805
470	3381	3797
471	3388	3790
472	3395	3782
473	3401	3775
474	3409	3768
475	3416	3761
476	3423	3753
477	3429	3745
478	3435	3736
479	3442	3729
480	3448	3720
481	3455	3713
482	3462	3706
483	3469	3699
484	3478	3693
485	3485	3685
486	3492	3678
487	3498	3671
488	3505	3663
489	3512	3656
490	3519	3648
491	3526	3641
492	3533	3633
493	3540	3626
494	3547	3619
495	3554	3611
496	3561	3604
497	3568	3597
498	3575	3589
499	3582	3582
500	3590	3576
501	3597	3569
502	3604	3561
503	3611	3554
504	3618	3547
505	3625	3539
506	3633	3532
507	3639	3524
508	3646	3517
509	3653	3510
510	3660	3502
511	3666	3494
512	3673	3487
513	3680	3480
514	3688	3473
515	3695	3466
516	3703	3459
517	3710	3452
518	3717	3445
519	3724	3437
520	3731	3430
521	3738	3422
522	3745	3416
523	3752	3408
524	3759	3401
525	3766	3394
526	3773	3386
527	3781	3380
528	3788	3373
529	3795	3365
530	3802	3358
531	3809	3351
532	3816	3343
533	3823	3337
534	3831	3329
535	3837	3322
536	3844	3314
537	3851	3307
538	3859	3301
539	3866	3293
540	3874	3287
541	3882	3280
542	3889	3273
543	3896	3266
544	3904	3259
545	3911	3252
546	3917	3244
547	3925	3237
548	3931	3230
549	3939	3222
550	3945	3215
551	3952	3207
552	3959	3200
553	3966	3193
554	3972	3185
555	3978	3176
556	3985	3169
557	3992	3162
558	4000	3155
559	4007	3148
560	4015	3141
561	4022	3134
562	4028	3127
563	4034	3119
564	4042	3112
565	4049	3104
566	4055	3097
567	4062	3089
568	4070	3083
569	4079	3077
570	4086	3069
571	4092	3062
572	4099	3054
573	4106	3047
574	4113	3040
575	4120	3033
576	4127	3025
577	4135	3019
578	4142	3012
579	4149	3004
580	4156	2997
581	4162	2989
582	4169	2982
583	4176	2974
584	4183	2967
585	4191	2961
586	4197	2953
587	4205	2946
588	4212	2939
589	4218	2931
590	4226	2924
591	4233	2917
592	4240	2910
593	4246	2902
594	4253	2895
595	4261	2888
596	4267	2881
597	4274	2873
598	4282	2866
599	4289	2859
600	4296	2852
601	4303	2844
602	4310	2837
603	4317	2830
604	4325	2823
605	4332	2816
606	4339	2809
607	4346	2802
608	4352	2794
609	4359	2787
610	4366	2780
611	4373	2772
612	4380	2765
613	4387	2757
614	4393	2750
615	4400	2743
616	4407	2736
